name,num_all_re,num_neg_re,percent
McDonald's,20406,15145,74.21836714691756
Starbucks,30086,11984,39.8324802233597
Chipotle Mexican Grill,11433,5298,46.33954342692207
Dunkin',7956,4749,59.69079939668175
Buffalo Wild Wings,9152,4706,51.42045454545454
Denny's,8139,4377,53.77810541835606
Panera Bread,8333,4150,49.80199207968319
Pizza Hut,5898,4142,70.2271956595456
Taco Bell,6919,4069,58.80907645613528
Wendy's,5878,4053,68.95202449812861
Burger King,5556,4038,72.67818574514037
Walmart Supercenter,6189,3902,63.047342058490884
IHOP,6627,3700,55.832201599517134
Tropical Smoothie Cafe,5732,3637,63.45080251221214
Panda Express,6121,3549,57.980722104231326
