words,freq,business
order,7513,McDonald's
food,6187,McDonald's
time,4357,McDonald's
service,3220,McDonald's
minutes,3210,McDonald's
place,3198,McDonald's
location,2898,McDonald's
thru,2772,McDonald's
manager,2608,McDonald's
ordered,2555,McDonald's
Starbucks,8061,Starbucks
drink,4966,Starbucks
coffee,4583,Starbucks
order,4288,Starbucks
time,3716,Starbucks
location,3674,Starbucks
drive,3113,Starbucks
service,2703,Starbucks
minutes,2458,Starbucks
drinks,2198,Starbucks
food,2743,Chipotle Mexican Grill
Chipotle,2103,Chipotle Mexican Grill
location,2055,Chipotle Mexican Grill
order,1990,Chipotle Mexican Grill
time,1976,Chipotle Mexican Grill
when,1748,Chipotle Mexican Grill
line,1503,Chipotle Mexican Grill
burrito,1491,Chipotle Mexican Grill
service,1145,Chipotle Mexican Grill
place,987,Chipotle Mexican Grill
chicken,940,Chipotle Mexican Grill
coffee,2507,Dunkin'
order,2103,Dunkin'
donuts,1647,Dunkin'
time,1638,Dunkin'
location,1522,Dunkin'
drive,1519,Dunkin'
service,1155,Dunkin'
customer,988,Dunkin'
asked,972,Dunkin'
place,969,Dunkin'
food,2885,Buffalo Wild Wings
wings,2416,Buffalo Wild Wings
order,2201,Buffalo Wild Wings
service,1964,Buffalo Wild Wings
time,1724,Buffalo Wild Wings
minutes,1709,Buffalo Wild Wings
place,1520,Buffalo Wild Wings
server,1164,Buffalo Wild Wings
manager,1139,Buffalo Wild Wings
table,1011,Buffalo Wild Wings
