t,word,coef
neg,nincompoops,2.097129811
neg,moindre,1.910855485
neg,negligently,1.820756741
neg,apprendre,1.80502697
neg,harrassment,1.618611055
neg,falsifying,1.615942404
neg,pauvre,1.472282116
neg,auraient,1.44946398
neg,corations,1.423460189
neg,psychosis,1.40259511
neg,fraudster,1.387479168
neg,erreurs,1.384535465
neg,displease,1.332950229
neg,ni***r,1.328068299
neg,trange,1.300357997
neg,positif,1.26875027
neg,anderen,1.222724435
neg,preterm,1.222002301
neg,camshaft,1.203842642
neg,unresponsiveness,1.180313243
pos,defacto,3.659078421
pos,cosmpolitan,2.752121587
pos,colborne,2.57865546
pos,starchiness,2.554566159
pos,burroughs,2.36495868
pos,haricots,2.31798919
pos,perfuming,2.247406056
pos,wordplay,2.200876769
pos,flottante,2.098647406
pos,madmen,2.053437382
pos,buoyed,1.918909984
pos,loc8ion,1.911607424
pos,brasato,1.897612975
pos,podiatrists,1.869039329
pos,accentuates,1.84985432
pos,oenophile,1.822520592
pos,incendiary,1.773544042
pos,pittsburghese,1.770470678
pos,adiamo,1.757476453
pos,stater,1.748095725
