index,word,coef
65433,nincompoops,2.097129811
61120,moindre,1.910855485
51892,negligently,1.820756741
48044,apprendre,1.80502697
40306,harrassment,1.618611055
40996,falsifying,1.615942404
55849,pauvre,1.472282116
53572,auraient,1.44946398
62005,corations,1.423460189
56082,psychosis,1.40259511
64382,fraudster,1.387479168
59148,erreurs,1.384535465
56112,displease,1.332950229
57789,ni***r,1.328068299
45455,trange,1.300357997
45309,positif,1.26875027
61736,anderen,1.222724435
60955,preterm,1.222002301
44455,camshaft,1.203842642
51272,unresponsiveness,1.180313243
